resume_text,jd_text,matched_score
"Career Objective: 
Skills: assembly, AutoCAD, automation, budgets, budget, CNC, electronics, layout, machine tools, machinery, market, materials, mathematics, mechanical, networks, packaging, PLC, policies, presentations, programming, Project management, quality, recording, sales, spreadsheet, team work
Education: [None, 'General Diploma'] at Penn State, Faith Christian Academy
Major: ['AutoCad', None]
Experience: Company Name, Company Name, Company Name","Job Title: Data Engineer
Education Requirement: Bachelor of Science (BSc)
Experience Requirement: 5 to 8 years
Responsibilities: Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning
Skills Required: Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",0.65
"Career Objective: 
Skills: Client engagement, Communication, Analytical and business acumen, Demand creation pursuits, Federal Government experience, IT support services, Data storage, Interoperability, Advanced data analytics
Education: Mechanical-Industrial Engineering, Executive Management, Business Development at Rochester Institute of Technology, Columbia University, Revenue Storm
Major: Mechanical-Industrial Engineering, Accelerated Management Program, N/A
Experience: Company Name, Company Name, Applied Graphics Technologies, Company Name","Job Title: HR Officer
Education Requirement: •Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.
Experience Requirement: 
Responsibilities: Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution
Skills Required: Human Resource Management",0.633333
"Career Objective: 
Skills: Data Analytics, Natural Language Processing, Production Engineering, Production Analytics, Tableau, Machine Learning, Python, NLTK
Education: B.Tech at SMV Institute of Technology
Major: Electrical and Electronics
Experience: Mahindra Ltd","Job Title: Mechanical Engineer
Education Requirement: Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical
Experience Requirement: 2 to 5 years
Responsibilities: Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance
Skills Required: Maintenance  and Troubleshooting
Mechanical",0.65
"Career Objective: 
Skills: Microsoft Excel, Project and Visio, Adobe, Engineering standards, OSHA regulations, MS Office proficient, Competency in procedure development, Advanced anatomy knowledge, Advanced knowledge of embedded systems, Vast technical knowledge, Windows XP/Vista, DHCP/DNS Ethernet and Firewall proficient, LAN aptitude, Proficient in AVG, Printers, PC Security systems, Knowledge of manufacturing test methodologies., Database servers, Local remoter systems support, Proficiency in TCP/IP protocols, Information security, Document management, Ability to stand and walk for hours at time.
Education:  at 
Major: 
Experience: Company Name, Company Name, Company Name, Company Name","Job Title: Civil Engineer
Education Requirement: B.Sc in Civil Engineering from a reputed university.
Experience Requirement: At least 5 years
Responsibilities: Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits
Skills Required: AutoCAD
ETABS
Microsoft Office Suite
MS Project",0.573333333
"Career Objective: I am a Post Graduate having knowledge of industry-level Machine Learning problems and Research topics. I currently work as a Machine Learning Engineer and I want to keep exploring such opportunities.
Skills: Machine Learning Engineering, Algorithm development, Python, Data Arbitration, Neural Networks, PyTorch, Pattern Recognition, Chatbot
Education: B.Sc, M.Sc at St Josephs College of Arts And Science Bengaluru, Loyola Academy Degree & PG College, Hyderabad
Major: Computer Science Engineering, Big Data Analytics
Experience: ERC Solution","Job Title: AI Engineer
Education Requirement: Bachelors or Masters degree in Computer Science, Engineering, or a related field.
Experience Requirement: 
Responsibilities: Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration
Skills Required: Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.85
"Career Objective: To design, develop and manage products in the field of consumer electronics devices, networking protocols, internet applications and connected devices. Vision to create personalized experiences based on machine learning.
Skills: Lead Development, build teams, mentor, interface with customers and vendors, architect end to end, Develop products in consumer electronics, digital TV, industrial automation, control systems, C, C++, JAVA, JVM, Embedded Linux, LXC, Device Drivers, Socs, RTOS - OS9, VXWorks, DVB, MPEG, H.264, HLS, MP4, JSON, REST, SOAP, XML, SNMP, TR069, Microcontrollers, hardware, Matlab, Octave, Mathematical modeling, Integrating content protection systems, Agile Methodologies, Scrum, SDLC, project planning and management, leadership
Education: M.Tech, B.E, Course at Indian Institute of Technology, Devi Ahilya University, Coursera - Stanford
Major: Control Systems, Electrical Engineering, Machine learning
Experience: Company Name, Company Name, Company Name","Job Title: Business Development Executive
Education Requirement: Bachelor/Honors
Experience Requirement: 1 to 3 years
Responsibilities: Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication
Skills Required: Fast typing skill
IELTSInternet browsing & online work ability.",0.316666667
"Career Objective: 
Skills: Microsoft Word/Excel, Great Plains Dynamics, BI360 (BusinessIntelligence Tool), Keane Care
Education: Bachelor of Science at MERCY COLLEGE
Major: Accounting
Experience: Company Name, Company Name, Company Name, Company Name","Job Title: Mechanical Engineer
Education Requirement: Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical
Experience Requirement: 2 to 5 years
Responsibilities: Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance
Skills Required: Maintenance  and Troubleshooting
Mechanical",0.3499999999999999
"Career Objective: Want to work as a Machine Learning Production Engineer.
Skills: Machine Learning Engineer, Data Analyst, Natural Language Processing, Deep Learning, Reinforcement Learning, Tensorflow, Keras, Scikit Learn, Numpy, Pandas, Matplotlib, Python
Education: B.Tech, M.Tech at AMIT, Bijnor, KVIT, Pilani
Major: Electronics/Telecommunication, Advanced Analytics
Experience: Larsen & Toubro","Job Title: Senior Software Engineer
Education Requirement: B.Sc in Computer Science & Engineering from a reputed university.
Experience Requirement: At least 1 year
Responsibilities: Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits





Skills Required: ",0.85
"Career Objective: 
Skills: Machine learning, Deep learning, Python, NLP, Computer vision, Image processing, SQL, Data analysis, Big Data, Spark, Apache hive, Apache pig, Tensorflow, Sklearn, Data visualization, Data science
Education: B.Tech, M.Tech at Darjeeling Engineering College, Calcutta University
Major: [None, 'Big data analytics']
Experience: JumpStart","Job Title: Machine Learning (ML) Engineer
Education Requirement: M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University
Experience Requirement: At least 5 year(s)
Responsibilities: Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis
Skills Required: ",0.876666667
"Career Objective: Adept at extracting and combining data from multiple sources to come up with KPIs which have a direct impact on the bottom line of a project.
Skills: Data Analysis, Data Visualization, Deep Learning, Machine Learning, Adobe Analytics, Excel, Matplotlib, Python
Education: B.tech at Maulana Abul University
Major: IT
Experience: Tata Sons","Job Title: Project Coordinator (Civil)
Education Requirement: •Bachelor of Business Administration (BBA) in Human Resource Management
Experience Requirement: 5 to 10 years
Responsibilities: Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration
Skills Required: Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",0.783333333
